"Archivo","Plantilla","Rubro","Categoría","Productos/Servicios"
"Alimentos y Bebidas/01-dashboard-financiero-Bodega.xlsx","Dashboard Financiero","Bodega","Alimentos y Bebidas","Arroz 5kg | Aceite 1L | Azúcar 1kg | Fideos 800g | Atún lata | Leche evaporada | Gaseosa 1.5L | Pan ciabatta"
"Alimentos y Bebidas/14-estado-resultados-Bodega.xlsx","Estado de Resultados","Bodega","Alimentos y Bebidas","Arroz 5kg | Aceite 1L | Azúcar 1kg | Fideos 800g | Atún lata | Leche evaporada | Gaseosa 1.5L | Pan ciabatta"
"Alimentos y Bebidas/15-flujo-efectivo-indirecto-Bodega.xlsx","Flujo de Efectivo Indirecto","Bodega","Alimentos y Bebidas","Arroz 5kg | Aceite 1L | Azúcar 1kg | Fideos 800g | Atún lata | Leche evaporada | Gaseosa 1.5L | Pan ciabatta"
"Alimentos y Bebidas/16-conciliacion-bancaria-Bodega.xlsx","Conciliación Bancaria","Bodega","Alimentos y Bebidas","Arroz 5kg | Aceite 1L | Azúcar 1kg | Fideos 800g | Atún lata | Leche evaporada | Gaseosa 1.5L | Pan ciabatta"
"Alimentos y Bebidas/17-libro-diario-Bodega.xlsx","Libro Diario y Mayor","Bodega","Alimentos y Bebidas","Arroz 5kg | Aceite 1L | Azúcar 1kg | Fideos 800g | Atún lata | Leche evaporada | Gaseosa 1.5L | Pan ciabatta"
"Alimentos y Bebidas/18-ratios-financieros-Bodega.xlsx","Ratios Financieros","Bodega","Alimentos y Bebidas","Arroz 5kg | Aceite 1L | Azúcar 1kg | Fideos 800g | Atún lata | Leche evaporada | Gaseosa 1.5L | Pan ciabatta"
"Alimentos y Bebidas/19-control-tributario-Bodega.xlsx","Control Tributario","Bodega","Alimentos y Bebidas","Arroz 5kg | Aceite 1L | Azúcar 1kg | Fideos 800g | Atún lata | Leche evaporada | Gaseosa 1.5L | Pan ciabatta"
"Alimentos y Bebidas/20-presupuesto-centros-costo-Bodega.xlsx","Presupuesto Centros de Costo","Bodega","Alimentos y Bebidas","Arroz 5kg | Aceite 1L | Azúcar 1kg | Fideos 800g | Atún lata | Leche evaporada | Gaseosa 1.5L | Pan ciabatta"
"Alimentos y Bebidas/21-activos-fijos-Bodega.xlsx","Activos Fijos y Depreciación","Bodega","Alimentos y Bebidas","Arroz 5kg | Aceite 1L | Azúcar 1kg | Fideos 800g | Atún lata | Leche evaporada | Gaseosa 1.5L | Pan ciabatta"
"Alimentos y Bebidas/22-punto-equilibrio-Bodega.xlsx","Punto de Equilibrio","Bodega","Alimentos y Bebidas","Arroz 5kg | Aceite 1L | Azúcar 1kg | Fideos 800g | Atún lata | Leche evaporada | Gaseosa 1.5L | Pan ciabatta"
"Alimentos y Bebidas/23-estados-comparativos-Bodega.xlsx","Estados Comparativos 3 Años","Bodega","Alimentos y Bebidas","Arroz 5kg | Aceite 1L | Azúcar 1kg | Fideos 800g | Atún lata | Leche evaporada | Gaseosa 1.5L | Pan ciabatta"
"Alimentos y Bebidas/24-costeo-ordenes-Bodega.xlsx","Costeo porÓrdenes de Trabajo","Bodega","Alimentos y Bebidas","Arroz 5kg | Aceite 1L | Azúcar 1kg | Fideos 800g | Atún lata | Leche evaporada | Gaseosa 1.5L | Pan ciabatta"
"Alimentos y Bebidas/25-calculadora-cts-Bodega.xlsx","Calculadora CTS","Bodega","Alimentos y Bebidas","Arroz 5kg | Aceite 1L | Azúcar 1kg | Fideos 800g | Atún lata | Leche evaporada | Gaseosa 1.5L | Pan ciabatta"
"Alimentos y Bebidas/26-gratificaciones-Bodega.xlsx","Calculadora Gratificaciones","Bodega","Alimentos y Bebidas","Arroz 5kg | Aceite 1L | Azúcar 1kg | Fideos 800g | Atún lata | Leche evaporada | Gaseosa 1.5L | Pan ciabatta"
"Alimentos y Bebidas/27-amortizacion-Bodega.xlsx","Cuadro de Amortización","Bodega","Alimentos y Bebidas","Arroz 5kg | Aceite 1L | Azúcar 1kg | Fideos 800g | Atún lata | Leche evaporada | Gaseosa 1.5L | Pan ciabatta"
"Alimentos y Bebidas/28-vacaciones-Bodega.xlsx","Calculadora Vacaciones","Bodega","Alimentos y Bebidas","Arroz 5kg | Aceite 1L | Azúcar 1kg | Fideos 800g | Atún lata | Leche evaporada | Gaseosa 1.5L | Pan ciabatta"
"Alimentos y Bebidas/29-afp-onp-Bodega.xlsx","Calculadora AFP/ONP","Bodega","Alimentos y Bebidas","Arroz 5kg | Aceite 1L | Azúcar 1kg | Fideos 800g | Atún lata | Leche evaporada | Gaseosa 1.5L | Pan ciabatta"
"Alimentos y Bebidas/30-nomina-Bodega.xlsx","Calculadora Nómina","Bodega","Alimentos y Bebidas","Arroz 5kg | Aceite 1L | Azúcar 1kg | Fideos 800g | Atún lata | Leche evaporada | Gaseosa 1.5L | Pan ciabatta"
"Alimentos y Bebidas/31-roi-Bodega.xlsx","Calculadora ROI","Bodega","Alimentos y Bebidas","Arroz 5kg | Aceite 1L | Azúcar 1kg | Fideos 800g | Atún lata | Leche evaporada | Gaseosa 1.5L | Pan ciabatta"
"Alimentos y Bebidas/32-ipc-Bodega.xlsx","Calculadora IPC","Bodega","Alimentos y Bebidas","Arroz 5kg | Aceite 1L | Azúcar 1kg | Fideos 800g | Atún lata | Leche evaporada | Gaseosa 1.5L | Pan ciabatta"
"Alimentos y Bebidas/33-endeudamiento-Bodega.xlsx","Capacidad Endeudamiento","Bodega","Alimentos y Bebidas","Arroz 5kg | Aceite 1L | Azúcar 1kg | Fideos 800g | Atún lata | Leche evaporada | Gaseosa 1.5L | Pan ciabatta"
"Alimentos y Bebidas/34-proyeccion-flujo-Bodega.xlsx","Proyección Flujo de Caja","Bodega","Alimentos y Bebidas","Arroz 5kg | Aceite 1L | Azúcar 1kg | Fideos 800g | Atún lata | Leche evaporada | Gaseosa 1.5L | Pan ciabatta"
"Alimentos y Bebidas/01-dashboard-financiero-Minimarket.xlsx","Dashboard Financiero","Minimarket","Alimentos y Bebidas","Snacks | Bebidas frías | Lácteos | Panetela | Cigarrillos | Hielo | Útiles escolares | Cuidado personal"
"Alimentos y Bebidas/02-control-ventas-Minimarket.xlsx","Control de Ventas","Minimarket","Alimentos y Bebidas","Snacks | Bebidas frías | Lácteos | Panetela | Cigarrillos | Hielo | Útiles escolares | Cuidado personal"
"Alimentos y Bebidas/03-inventario-Minimarket.xlsx","Control de Inventario","Minimarket","Alimentos y Bebidas","Snacks | Bebidas frías | Lácteos | Panetela | Cigarrillos | Hielo | Útiles escolares | Cuidado personal"
"Alimentos y Bebidas/04-presupuesto-anual-Minimarket.xlsx","Presupuesto Anual","Minimarket","Alimentos y Bebidas","Snacks | Bebidas frías | Lácteos | Panetela | Cigarrillos | Hielo | Útiles escolares | Cuidado personal"
"Alimentos y Bebidas/05-flujo-de-caja-Minimarket.xlsx","Flujo de Caja","Minimarket","Alimentos y Bebidas","Snacks | Bebidas frías | Lácteos | Panetela | Cigarrillos | Hielo | Útiles escolares | Cuidado personal"
"Alimentos y Bebidas/06-gestion-proyectos-Minimarket.xlsx","Gestión de Proyectos","Minimarket","Alimentos y Bebidas","Snacks | Bebidas frías | Lácteos | Panetela | Cigarrillos | Hielo | Útiles escolares | Cuidado personal"
"Alimentos y Bebidas/07-analisis-kpis-Minimarket.xlsx","Análisis de KPIs","Minimarket","Alimentos y Bebidas","Snacks | Bebidas frías | Lácteos | Panetela | Cigarrillos | Hielo | Útiles escolares | Cuidado personal"
"Alimentos y Bebidas/08-control-gastos-Minimarket.xlsx","Control de Gastos","Minimarket","Alimentos y Bebidas","Snacks | Bebidas frías | Lácteos | Panetela | Cigarrillos | Hielo | Útiles escolares | Cuidado personal"
"Alimentos y Bebidas/09-planilla-personal-Minimarket.xlsx","Planilla de Personal","Minimarket","Alimentos y Bebidas","Snacks | Bebidas frías | Lácteos | Panetela | Cigarrillos | Hielo | Útiles escolares | Cuidado personal"
"Alimentos y Bebidas/10-cuentas-por-cobrar-Minimarket.xlsx","Cuentas por Cobrar","Minimarket","Alimentos y Bebidas","Snacks | Bebidas frías | Lácteos | Panetela | Cigarrillos | Hielo | Útiles escolares | Cuidado personal"
"Alimentos y Bebidas/11-caja-diaria-Minimarket.xlsx","Caja Diaria","Minimarket","Alimentos y Bebidas","Snacks | Bebidas frías | Lácteos | Panetela | Cigarrillos | Hielo | Útiles escolares | Cuidado personal"
"Alimentos y Bebidas/12-compras-proveedores-Minimarket.xlsx","Compras y Proveedores","Minimarket","Alimentos y Bebidas","Snacks | Bebidas frías | Lácteos | Panetela | Cigarrillos | Hielo | Útiles escolares | Cuidado personal"
"Alimentos y Bebidas/13-balance-general-Minimarket.xlsx","Balance General","Minimarket","Alimentos y Bebidas","Snacks | Bebidas frías | Lácteos | Panetela | Cigarrillos | Hielo | Útiles escolares | Cuidado personal"
"Alimentos y Bebidas/14-estado-resultados-Minimarket.xlsx","Estado de Resultados","Minimarket","Alimentos y Bebidas","Snacks | Bebidas frías | Lácteos | Panetela | Cigarrillos | Hielo | Útiles escolares | Cuidado personal"
"Alimentos y Bebidas/15-flujo-efectivo-indirecto-Minimarket.xlsx","Flujo de Efectivo Indirecto","Minimarket","Alimentos y Bebidas","Snacks | Bebidas frías | Lácteos | Panetela | Cigarrillos | Hielo | Útiles escolares | Cuidado personal"
"Alimentos y Bebidas/16-conciliacion-bancaria-Minimarket.xlsx","Conciliación Bancaria","Minimarket","Alimentos y Bebidas","Snacks | Bebidas frías | Lácteos | Panetela | Cigarrillos | Hielo | Útiles escolares | Cuidado personal"
"Alimentos y Bebidas/17-libro-diario-Minimarket.xlsx","Libro Diario y Mayor","Minimarket","Alimentos y Bebidas","Snacks | Bebidas frías | Lácteos | Panetela | Cigarrillos | Hielo | Útiles escolares | Cuidado personal"
"Alimentos y Bebidas/18-ratios-financieros-Minimarket.xlsx","Ratios Financieros","Minimarket","Alimentos y Bebidas","Snacks | Bebidas frías | Lácteos | Panetela | Cigarrillos | Hielo | Útiles escolares | Cuidado personal"
"Alimentos y Bebidas/19-control-tributario-Minimarket.xlsx","Control Tributario","Minimarket","Alimentos y Bebidas","Snacks | Bebidas frías | Lácteos | Panetela | Cigarrillos | Hielo | Útiles escolares | Cuidado personal"
"Alimentos y Bebidas/20-presupuesto-centros-costo-Minimarket.xlsx","Presupuesto Centros de Costo","Minimarket","Alimentos y Bebidas","Snacks | Bebidas frías | Lácteos | Panetela | Cigarrillos | Hielo | Útiles escolares | Cuidado personal"
"Alimentos y Bebidas/21-activos-fijos-Minimarket.xlsx","Activos Fijos y Depreciación","Minimarket","Alimentos y Bebidas","Snacks | Bebidas frías | Lácteos | Panetela | Cigarrillos | Hielo | Útiles escolares | Cuidado personal"
"Alimentos y Bebidas/22-punto-equilibrio-Minimarket.xlsx","Punto de Equilibrio","Minimarket","Alimentos y Bebidas","Snacks | Bebidas frías | Lácteos | Panetela | Cigarrillos | Hielo | Útiles escolares | Cuidado personal"
"Alimentos y Bebidas/23-estados-comparativos-Minimarket.xlsx","Estados Comparativos 3 Años","Minimarket","Alimentos y Bebidas","Snacks | Bebidas frías | Lácteos | Panetela | Cigarrillos | Hielo | Útiles escolares | Cuidado personal"
"Alimentos y Bebidas/24-costeo-ordenes-Minimarket.xlsx","Costeo porÓrdenes de Trabajo","Minimarket","Alimentos y Bebidas","Snacks | Bebidas frías | Lácteos | Panetela | Cigarrillos | Hielo | Útiles escolares | Cuidado personal"
"Alimentos y Bebidas/25-calculadora-cts-Minimarket.xlsx","Calculadora CTS","Minimarket","Alimentos y Bebidas","Snacks | Bebidas frías | Lácteos | Panetela | Cigarrillos | Hielo | Útiles escolares | Cuidado personal"
"Alimentos y Bebidas/26-gratificaciones-Minimarket.xlsx","Calculadora Gratificaciones","Minimarket","Alimentos y Bebidas","Snacks | Bebidas frías | Lácteos | Panetela | Cigarrillos | Hielo | Útiles escolares | Cuidado personal"
"Alimentos y Bebidas/27-amortizacion-Minimarket.xlsx","Cuadro de Amortización","Minimarket","Alimentos y Bebidas","Snacks | Bebidas frías | Lácteos | Panetela | Cigarrillos | Hielo | Útiles escolares | Cuidado personal"
"Alimentos y Bebidas/28-vacaciones-Minimarket.xlsx","Calculadora Vacaciones","Minimarket","Alimentos y Bebidas","Snacks | Bebidas frías | Lácteos | Panetela | Cigarrillos | Hielo | Útiles escolares | Cuidado personal"
"Alimentos y Bebidas/29-afp-onp-Minimarket.xlsx","Calculadora AFP/ONP","Minimarket","Alimentos y Bebidas","Snacks | Bebidas frías | Lácteos | Panetela | Cigarrillos | Hielo | Útiles escolares | Cuidado personal"
"Alimentos y Bebidas/30-nomina-Minimarket.xlsx","Calculadora Nómina","Minimarket","Alimentos y Bebidas","Snacks | Bebidas frías | Lácteos | Panetela | Cigarrillos | Hielo | Útiles escolares | Cuidado personal"
"Alimentos y Bebidas/31-roi-Minimarket.xlsx","Calculadora ROI","Minimarket","Alimentos y Bebidas","Snacks | Bebidas frías | Lácteos | Panetela | Cigarrillos | Hielo | Útiles escolares | Cuidado personal"
"Alimentos y Bebidas/32-ipc-Minimarket.xlsx","Calculadora IPC","Minimarket","Alimentos y Bebidas","Snacks | Bebidas frías | Lácteos | Panetela | Cigarrillos | Hielo | Útiles escolares | Cuidado personal"
"Alimentos y Bebidas/33-endeudamiento-Minimarket.xlsx","Capacidad Endeudamiento","Minimarket","Alimentos y Bebidas","Snacks | Bebidas frías | Lácteos | Panetela | Cigarrillos | Hielo | Útiles escolares | Cuidado personal"
"Alimentos y Bebidas/34-proyeccion-flujo-Minimarket.xlsx","Proyección Flujo de Caja","Minimarket","Alimentos y Bebidas","Snacks | Bebidas frías | Lácteos | Panetela | Cigarrillos | Hielo | Útiles escolares | Cuidado personal"
"Alimentos y Bebidas/01-dashboard-financiero-Restaurante.xlsx","Dashboard Financiero","Restaurante","Alimentos y Bebidas","Menú de día | Segundo | Caldo de gallina | Lomo saltado | Ají de gallina | Chicharrón | Refresco | Postre del día"
"Alimentos y Bebidas/02-control-ventas-Restaurante.xlsx","Control de Ventas","Restaurante","Alimentos y Bebidas","Menú de día | Segundo | Caldo de gallina | Lomo saltado | Ají de gallina | Chicharrón | Refresco | Postre del día"
"Alimentos y Bebidas/03-inventario-Restaurante.xlsx","Control de Inventario","Restaurante","Alimentos y Bebidas","Menú de día | Segundo | Caldo de gallina | Lomo saltado | Ají de gallina | Chicharrón | Refresco | Postre del día"
"Alimentos y Bebidas/04-presupuesto-anual-Restaurante.xlsx","Presupuesto Anual","Restaurante","Alimentos y Bebidas","Menú de día | Segundo | Caldo de gallina | Lomo saltado | Ají de gallina | Chicharrón | Refresco | Postre del día"
"Alimentos y Bebidas/05-flujo-de-caja-Restaurante.xlsx","Flujo de Caja","Restaurante","Alimentos y Bebidas","Menú de día | Segundo | Caldo de gallina | Lomo saltado | Ají de gallina | Chicharrón | Refresco | Postre del día"
"Alimentos y Bebidas/06-gestion-proyectos-Restaurante.xlsx","Gestión de Proyectos","Restaurante","Alimentos y Bebidas","Menú de día | Segundo | Caldo de gallina | Lomo saltado | Ají de gallina | Chicharrón | Refresco | Postre del día"
"Alimentos y Bebidas/07-analisis-kpis-Restaurante.xlsx","Análisis de KPIs","Restaurante","Alimentos y Bebidas","Menú de día | Segundo | Caldo de gallina | Lomo saltado | Ají de gallina | Chicharrón | Refresco | Postre del día"
"Alimentos y Bebidas/08-control-gastos-Restaurante.xlsx","Control de Gastos","Restaurante","Alimentos y Bebidas","Menú de día | Segundo | Caldo de gallina | Lomo saltado | Ají de gallina | Chicharrón | Refresco | Postre del día"
"Alimentos y Bebidas/09-planilla-personal-Restaurante.xlsx","Planilla de Personal","Restaurante","Alimentos y Bebidas","Menú de día | Segundo | Caldo de gallina | Lomo saltado | Ají de gallina | Chicharrón | Refresco | Postre del día"
"Alimentos y Bebidas/10-cuentas-por-cobrar-Restaurante.xlsx","Cuentas por Cobrar","Restaurante","Alimentos y Bebidas","Menú de día | Segundo | Caldo de gallina | Lomo saltado | Ají de gallina | Chicharrón | Refresco | Postre del día"
"Alimentos y Bebidas/11-caja-diaria-Restaurante.xlsx","Caja Diaria","Restaurante","Alimentos y Bebidas","Menú de día | Segundo | Caldo de gallina | Lomo saltado | Ají de gallina | Chicharrón | Refresco | Postre del día"
"Alimentos y Bebidas/12-compras-proveedores-Restaurante.xlsx","Compras y Proveedores","Restaurante","Alimentos y Bebidas","Menú de día | Segundo | Caldo de gallina | Lomo saltado | Ají de gallina | Chicharrón | Refresco | Postre del día"
"Alimentos y Bebidas/13-balance-general-Restaurante.xlsx","Balance General","Restaurante","Alimentos y Bebidas","Menú de día | Segundo | Caldo de gallina | Lomo saltado | Ají de gallina | Chicharrón | Refresco | Postre del día"
"Alimentos y Bebidas/14-estado-resultados-Restaurante.xlsx","Estado de Resultados","Restaurante","Alimentos y Bebidas","Menú de día | Segundo | Caldo de gallina | Lomo saltado | Ají de gallina | Chicharrón | Refresco | Postre del día"
"Alimentos y Bebidas/15-flujo-efectivo-indirecto-Restaurante.xlsx","Flujo de Efectivo Indirecto","Restaurante","Alimentos y Bebidas","Menú de día | Segundo | Caldo de gallina | Lomo saltado | Ají de gallina | Chicharrón | Refresco | Postre del día"
"Alimentos y Bebidas/16-conciliacion-bancaria-Restaurante.xlsx","Conciliación Bancaria","Restaurante","Alimentos y Bebidas","Menú de día | Segundo | Caldo de gallina | Lomo saltado | Ají de gallina | Chicharrón | Refresco | Postre del día"
"Alimentos y Bebidas/17-libro-diario-Restaurante.xlsx","Libro Diario y Mayor","Restaurante","Alimentos y Bebidas","Menú de día | Segundo | Caldo de gallina | Lomo saltado | Ají de gallina | Chicharrón | Refresco | Postre del día"
"Alimentos y Bebidas/18-ratios-financieros-Restaurante.xlsx","Ratios Financieros","Restaurante","Alimentos y Bebidas","Menú de día | Segundo | Caldo de gallina | Lomo saltado | Ají de gallina | Chicharrón | Refresco | Postre del día"
"Alimentos y Bebidas/19-control-tributario-Restaurante.xlsx","Control Tributario","Restaurante","Alimentos y Bebidas","Menú de día | Segundo | Caldo de gallina | Lomo saltado | Ají de gallina | Chicharrón | Refresco | Postre del día"
"Alimentos y Bebidas/20-presupuesto-centros-costo-Restaurante.xlsx","Presupuesto Centros de Costo","Restaurante","Alimentos y Bebidas","Menú de día | Segundo | Caldo de gallina | Lomo saltado | Ají de gallina | Chicharrón | Refresco | Postre del día"
"Alimentos y Bebidas/21-activos-fijos-Restaurante.xlsx","Activos Fijos y Depreciación","Restaurante","Alimentos y Bebidas","Menú de día | Segundo | Caldo de gallina | Lomo saltado | Ají de gallina | Chicharrón | Refresco | Postre del día"
"Alimentos y Bebidas/22-punto-equilibrio-Restaurante.xlsx","Punto de Equilibrio","Restaurante","Alimentos y Bebidas","Menú de día | Segundo | Caldo de gallina | Lomo saltado | Ají de gallina | Chicharrón | Refresco | Postre del día"
"Alimentos y Bebidas/23-estados-comparativos-Restaurante.xlsx","Estados Comparativos 3 Años","Restaurante","Alimentos y Bebidas","Menú de día | Segundo | Caldo de gallina | Lomo saltado | Ají de gallina | Chicharrón | Refresco | Postre del día"
"Alimentos y Bebidas/24-costeo-ordenes-Restaurante.xlsx","Costeo porÓrdenes de Trabajo","Restaurante","Alimentos y Bebidas","Menú de día | Segundo | Caldo de gallina | Lomo saltado | Ají de gallina | Chicharrón | Refresco | Postre del día"
"Alimentos y Bebidas/25-calculadora-cts-Restaurante.xlsx","Calculadora CTS","Restaurante","Alimentos y Bebidas","Menú de día | Segundo | Caldo de gallina | Lomo saltado | Ají de gallina | Chicharrón | Refresco | Postre del día"
"Alimentos y Bebidas/26-gratificaciones-Restaurante.xlsx","Calculadora Gratificaciones","Restaurante","Alimentos y Bebidas","Menú de día | Segundo | Caldo de gallina | Lomo saltado | Ají de gallina | Chicharrón | Refresco | Postre del día"
"Alimentos y Bebidas/27-amortizacion-Restaurante.xlsx","Cuadro de Amortización","Restaurante","Alimentos y Bebidas","Menú de día | Segundo | Caldo de gallina | Lomo saltado | Ají de gallina | Chicharrón | Refresco | Postre del día"
"Alimentos y Bebidas/28-vacaciones-Restaurante.xlsx","Calculadora Vacaciones","Restaurante","Alimentos y Bebidas","Menú de día | Segundo | Caldo de gallina | Lomo saltado | Ají de gallina | Chicharrón | Refresco | Postre del día"
"Alimentos y Bebidas/29-afp-onp-Restaurante.xlsx","Calculadora AFP/ONP","Restaurante","Alimentos y Bebidas","Menú de día | Segundo | Caldo de gallina | Lomo saltado | Ají de gallina | Chicharrón | Refresco | Postre del día"
"Alimentos y Bebidas/30-nomina-Restaurante.xlsx","Calculadora Nómina","Restaurante","Alimentos y Bebidas","Menú de día | Segundo | Caldo de gallina | Lomo saltado | Ají de gallina | Chicharrón | Refresco | Postre del día"
"Alimentos y Bebidas/31-roi-Restaurante.xlsx","Calculadora ROI","Restaurante","Alimentos y Bebidas","Menú de día | Segundo | Caldo de gallina | Lomo saltado | Ají de gallina | Chicharrón | Refresco | Postre del día"
"Alimentos y Bebidas/32-ipc-Restaurante.xlsx","Calculadora IPC","Restaurante","Alimentos y Bebidas","Menú de día | Segundo | Caldo de gallina | Lomo saltado | Ají de gallina | Chicharrón | Refresco | Postre del día"
"Alimentos y Bebidas/33-endeudamiento-Restaurante.xlsx","Capacidad Endeudamiento","Restaurante","Alimentos y Bebidas","Menú de día | Segundo | Caldo de gallina | Lomo saltado | Ají de gallina | Chicharrón | Refresco | Postre del día"
"Alimentos y Bebidas/34-proyeccion-flujo-Restaurante.xlsx","Proyección Flujo de Caja","Restaurante","Alimentos y Bebidas","Menú de día | Segundo | Caldo de gallina | Lomo saltado | Ají de gallina | Chicharrón | Refresco | Postre del día"
"Alimentos y Bebidas/01-dashboard-financiero-Polleria.xlsx","Dashboard Financiero","Pollería","Alimentos y Bebidas","Pollo entero | 1/4 de pollo | Papas familiares | Ensalada fresca | Gaseosa 1.5L | Chicha morada | Crema de ají | Combo familiar"
"Alimentos y Bebidas/02-control-ventas-Polleria.xlsx","Control de Ventas","Pollería","Alimentos y Bebidas","Pollo entero | 1/4 de pollo | Papas familiares | Ensalada fresca | Gaseosa 1.5L | Chicha morada | Crema de ají | Combo familiar"
"Alimentos y Bebidas/03-inventario-Polleria.xlsx","Control de Inventario","Pollería","Alimentos y Bebidas","Pollo entero | 1/4 de pollo | Papas familiares | Ensalada fresca | Gaseosa 1.5L | Chicha morada | Crema de ají | Combo familiar"
"Alimentos y Bebidas/04-presupuesto-anual-Polleria.xlsx","Presupuesto Anual","Pollería","Alimentos y Bebidas","Pollo entero | 1/4 de pollo | Papas familiares | Ensalada fresca | Gaseosa 1.5L | Chicha morada | Crema de ají | Combo familiar"
"Alimentos y Bebidas/05-flujo-de-caja-Polleria.xlsx","Flujo de Caja","Pollería","Alimentos y Bebidas","Pollo entero | 1/4 de pollo | Papas familiares | Ensalada fresca | Gaseosa 1.5L | Chicha morada | Crema de ají | Combo familiar"
"Alimentos y Bebidas/06-gestion-proyectos-Polleria.xlsx","Gestión de Proyectos","Pollería","Alimentos y Bebidas","Pollo entero | 1/4 de pollo | Papas familiares | Ensalada fresca | Gaseosa 1.5L | Chicha morada | Crema de ají | Combo familiar"
"Alimentos y Bebidas/07-analisis-kpis-Polleria.xlsx","Análisis de KPIs","Pollería","Alimentos y Bebidas","Pollo entero | 1/4 de pollo | Papas familiares | Ensalada fresca | Gaseosa 1.5L | Chicha morada | Crema de ají | Combo familiar"
"Alimentos y Bebidas/08-control-gastos-Polleria.xlsx","Control de Gastos","Pollería","Alimentos y Bebidas","Pollo entero | 1/4 de pollo | Papas familiares | Ensalada fresca | Gaseosa 1.5L | Chicha morada | Crema de ají | Combo familiar"
"Alimentos y Bebidas/09-planilla-personal-Polleria.xlsx","Planilla de Personal","Pollería","Alimentos y Bebidas","Pollo entero | 1/4 de pollo | Papas familiares | Ensalada fresca | Gaseosa 1.5L | Chicha morada | Crema de ají | Combo familiar"
"Alimentos y Bebidas/10-cuentas-por-cobrar-Polleria.xlsx","Cuentas por Cobrar","Pollería","Alimentos y Bebidas","Pollo entero | 1/4 de pollo | Papas familiares | Ensalada fresca | Gaseosa 1.5L | Chicha morada | Crema de ají | Combo familiar"
"Alimentos y Bebidas/11-caja-diaria-Polleria.xlsx","Caja Diaria","Pollería","Alimentos y Bebidas","Pollo entero | 1/4 de pollo | Papas familiares | Ensalada fresca | Gaseosa 1.5L | Chicha morada | Crema de ají | Combo familiar"
